,precision,recall,f1-score,support
ACCOUNTANT,1.0,1.0,1.0,46.0
ADVOCATE,0.9636363636363636,0.9814814814814815,0.9724770642201835,54.0
AGRICULTURE,0.35714285714285715,0.4166666666666667,0.38461538461538464,12.0
APPAREL,0.6666666666666666,0.3333333333333333,0.4444444444444444,24.0
ARTS,0.875,0.7777777777777778,0.8235294117647058,27.0
AUTOMOBILE,0.5,0.14285714285714285,0.2222222222222222,7.0
AVIATION,1.0,1.0,1.0,36.0
BANKING,0.8214285714285714,0.9387755102040817,0.8761904761904762,49.0
BPO,0.0,0.0,0.0,5.0
BUSINESS-DEVELOPMENT,0.8780487804878049,0.8372093023255814,0.8571428571428571,43.0
CHEF,1.0,0.9583333333333334,0.9787234042553191,48.0
CONSTRUCTION,0.926829268292683,1.0,0.9620253164556962,38.0
CONSULTANT,0.9019607843137255,0.8846153846153846,0.8932038834951457,52.0
DESIGNER,0.9107142857142857,0.9807692307692307,0.9444444444444444,52.0
DIGITAL-MEDIA,0.9230769230769231,0.48,0.631578947368421,25.0
ENGINEERING,0.8636363636363636,0.95,0.9047619047619048,40.0
FINANCE,0.9555555555555556,1.0,0.9772727272727273,43.0
FITNESS,1.0,0.8863636363636364,0.9397590361445783,44.0
HEALTHCARE,0.9,0.8571428571428571,0.8780487804878049,42.0
HR,0.9791666666666666,0.9791666666666666,0.9791666666666666,48.0
INFORMATION-TECHNOLOGY,0.8833333333333333,0.9636363636363636,0.9217391304347826,55.0
PUBLIC-RELATIONS,0.9622641509433962,0.9807692307692307,0.9714285714285714,52.0
SALES,0.5384615384615384,0.7777777777777778,0.6363636363636364,45.0
TEACHER,0.9772727272727273,0.9772727272727273,0.9772727272727273,44.0
accuracy,0.8915145005370569,0.8915145005370569,0.8915145005370569,0.8915145005370569
macro avg,0.8243414515262275,0.7959978509580531,0.7990171265605293,931.0
weighted avg,0.8918312526789021,0.8915145005370569,0.8856573170127563,931.0
