,precision,recall,f1-score,support
ACCOUNTANT,0.9545454545454546,0.9130434782608695,0.9333333333333333,46.0
ADVOCATE,0.9259259259259259,0.9259259259259259,0.9259259259259259,54.0
AGRICULTURE,0.0,0.0,0.0,12.0
APPAREL,1.0,0.125,0.2222222222222222,24.0
ARTS,1.0,0.9259259259259259,0.9615384615384616,27.0
AUTOMOBILE,0.0,0.0,0.0,7.0
AVIATION,0.972972972972973,1.0,0.9863013698630136,36.0
BANKING,0.8867924528301887,0.9591836734693877,0.9215686274509803,49.0
BPO,0.0,0.0,0.0,5.0
BUSINESS-DEVELOPMENT,0.7454545454545455,0.9534883720930233,0.8367346938775511,43.0
CHEF,1.0,0.9166666666666666,0.9565217391304348,48.0
CONSTRUCTION,0.926829268292683,1.0,0.9620253164556962,38.0
CONSULTANT,0.9411764705882353,0.9230769230769231,0.9320388349514563,52.0
DESIGNER,0.8387096774193549,1.0,0.9122807017543859,52.0
DIGITAL-MEDIA,1.0,0.2,0.3333333333333333,25.0
ENGINEERING,0.8260869565217391,0.95,0.8837209302325582,40.0
FINANCE,0.8541666666666666,0.9534883720930233,0.9010989010989011,43.0
FITNESS,0.9743589743589743,0.8636363636363636,0.9156626506024096,44.0
HEALTHCARE,0.8936170212765957,1.0,0.9438202247191011,42.0
HR,1.0,1.0,1.0,48.0
INFORMATION-TECHNOLOGY,0.8548387096774194,0.9636363636363636,0.905982905982906,55.0
PUBLIC-RELATIONS,0.8387096774193549,1.0,0.9122807017543859,52.0
SALES,0.75,0.8666666666666667,0.8041237113402062,45.0
TEACHER,0.8461538461538461,1.0,0.9166666666666666,44.0
accuracy,0.8872180451127819,0.8872180451127819,0.8872180451127819,0.8872180451127819
macro avg,0.7929307758376648,0.7683224471437975,0.7527992188430804,931.0
weighted avg,0.8764803884561131,0.8872180451127819,0.862934174496149,931.0
